image_path,aspect_ratio,norm_central_moment_02,lbp_entropy,lbp_max,lbp_uniformity,glcm_correlation_0,glcm_correlation_1,gradient_direction_entropy,gradient_direction_energy,hog_pca_0,hog_pca_1,hog_pca_2,hog_pca_3,hog_pca_4,hog_pca_5,hog_pca_6,hog_pca_7,hog_pca_8,hog_pca_9,hog_pca_10,hog_pca_11,hog_pca_12,hog_pca_13,hog_pca_14,hog_pca_15,hog_pca_16,hog_pca_17,hog_pca_18,hog_pca_19,ch_3,edge_density,mean_r,ClassId
img_002125.jpg,0.9142857142857144,0.0930051161976556,3.4189995039059298,0.3642857142856853,0.1631872008062225,0.6467102359361206,0.7986327292565253,2.901630331902852,0.1425245653816856,-0.66031563,-0.25529632,-0.37897295,-0.87523925,-1.7608054,0.4112125,0.26098335,-0.20795795,0.950623,-0.002215693,1.5798635,0.34911028,0.2172428,0.15399222,-0.50502574,-0.008851633,0.21793635,-0.48987016,-0.49446255,-0.03155665,0.003849965,0.05859375,69.01831055,35
img_005310.jpg,1.0,0.0798368298368296,3.5006254072095704,0.3397849462365226,0.1473996993871807,0.782931657643336,0.7779654172326445,2.9795854252540948,0.1285350907619101,-0.7965174,0.61203784,1.1760534,-0.54046214,0.10260083,0.8300624,0.2754652,-0.32996508,-0.68447304,-0.14727786,-0.1015252,0.30713373,-0.17030753,-0.62126136,-0.1451914,0.022971205,-0.107698016,-0.059069615,-0.31111276,0.394837,0.5699478,0.064941406,67.39794922,9
img_002482.jpg,0.0,0.0,3.527155117319871,0.3197314049586611,0.1388625051225865,0.83827131043257,0.7811752989576971,2.9364197973745,0.1358364353527624,-1.4313948,-0.35332695,1.279157,-0.45546106,-0.24284302,1.1325928,0.19248573,-0.028813604,-0.31281477,0.35249802,0.15669248,0.3107517,-0.28322598,0.47901428,0.39156842,-0.36281344,0.011934776,0.3792792,0.38302252,-0.25370687,0.60646534,0.0,25.64892578,10
img_000251.jpg,0.7878787878787878,0.1612499528572593,3.6773203314984704,0.2676930147058762,0.1141914974859376,0.8609865445763527,0.8780711792108065,2.9410772816013115,0.1348585504973986,-1.5311078,-0.7017067,-0.5943957,-0.52713287,0.57505125,0.5175516,1.0583751,-0.8696526,-0.7538656,0.35223117,0.38263527,0.28260198,0.12417712,-0.047175523,0.3364496,-0.15136218,-0.08278835,0.15589714,0.035743624,-0.04249841,0.28019708,0.06640625,40.91845703,10
img_000195.jpg,1.0,0.0798833403173312,3.594401118054278,0.2960526315789425,0.1276383418455637,0.9030426769054848,0.8684145380474254,2.9969144800192957,0.1255366494979183,-2.0961025,-0.88239855,0.02386684,0.892486,0.14268939,-0.71445584,-0.30191934,-0.44831362,-0.10178926,-0.40434155,-0.41092312,0.25772557,0.28445828,-0.12107077,-0.3791908,-0.2192846,0.1874734,-0.41113463,-0.30099082,-0.24136144,0.6619844,0.169433594,51.92333984,1
img_000054.jpg,1.1090909090909091,0.0745369398228562,3.72647865869112,0.2321907600596056,0.1039493959901413,0.8999653087024166,0.9352241224050926,2.846849719822972,0.1531573535062241,3.3359241,-1.4845008,-0.6301971,0.03791871,-0.895152,0.39071184,-0.54807585,-0.24943887,-0.2775222,-0.106824,0.5255787,-0.41093484,0.6438737,0.26998737,0.426493,0.10537566,0.63930327,-0.28802496,0.581009,0.5530406,0.0,0.189208984,175.0568848,18
img_001500.jpg,1.0465116279069768,0.0795623982686576,3.67888788277932,0.2263888888888784,0.1077396262002643,0.8306595413656854,0.8756289736900092,2.968733334230473,0.1305581275720043,-0.97785974,-0.18109994,-1.4115789,0.057568327,0.34171885,0.04278208,0.69806534,1.8783392,-0.6102473,-1.4356724,0.30266845,0.36906263,-0.8512225,0.15498397,0.06259781,-0.11837415,0.1687197,-0.32913515,-0.29047263,0.07366836,0.19927105,0.14453125,53.23413086,38
img_005412.jpg,0.4639175257731959,0.2196418118777277,3.669150400221728,0.2423825887743358,0.1093036480700723,0.9520725806969408,0.9535561309415944,2.8810938245925835,0.1485037309956645,-1.2724963,0.32824853,-0.50345886,-0.08626151,0.8667752,-0.07339166,-0.66454816,-0.37039196,0.4599869,-0.7341916,-0.5004278,-0.06790842,-0.5141251,0.46105862,-0.08404706,-0.13304815,0.53467166,0.6329277,-0.15485518,0.028818414,0.1573373,0.156005859,123.0180664,15
img_004399.jpg,0.7391304347826086,0.2950576401747497,3.725218025551479,0.2807588075880606,0.1133566880384128,0.765795988738232,0.78451105325598,2.952959647129795,0.133118000014674,-0.5568908,-0.2442911,-0.2445524,0.40961415,-0.12767571,0.005705128,0.8796501,-0.5709454,0.21004492,-0.18285988,-0.32843646,-0.5002527,-0.697488,0.2586804,0.37948376,0.24015428,-0.4127032,-0.94921005,-0.043460637,-0.009180103,0.548821,0.001708984,47.44262695,6
img_003796.jpg,1.0833333333333333,0.0869987508749352,3.62672425638734,0.3015873015872616,0.1254094230284374,0.845140932083845,0.8070990509152475,2.9371008346973397,0.1359914336104452,0.37170953,1.2685777,1.3109958,0.22347929,0.9122832,-0.42956284,0.0582929,-0.26587072,0.051581055,-0.32205462,-0.04905236,0.4773404,0.8403747,0.65799946,-0.08400413,0.7281459,0.37754264,-0.41105658,0.30762005,-0.8383638,0.6377975,0.013427734,44.0,10
